1s44,A,Up and Down Barrel,beta
1s44,B,Up and Down Barrel,beta
4nw4,A,Up and Down Barrel,beta
4iaw,A,Up and Down Barrel,beta
4iaw,B,Up and Down Barrel,beta
4iab,A,Up and Down Barrel,beta
4iab,B,Up and Down Barrel,beta
4iab,C,Up and Down Barrel,beta
4iax,A,Up and Down Barrel,beta
4iab,D,Up and Down Barrel,beta
2fhn,X,Up and Down Barrel,beta
2fhl,A,Up and Down Barrel,beta
2qcb,A,Up and Down Barrel,beta
4ekv,A,Up and Down Barrel,beta
3hty,A,Up and Down Barrel,beta
3hty,B,Up and Down Barrel,beta
3hty,C,Up and Down Barrel,beta
3hty,D,Up and Down Barrel,beta
3hty,E,Up and Down Barrel,beta
3hty,F,Up and Down Barrel,beta
3hty,G,Up and Down Barrel,beta
3hty,H,Up and Down Barrel,beta
1fen,A,Up and Down Barrel,beta
1fem,A,Up and Down Barrel,beta
1fel,A,Up and Down Barrel,beta
3u0d,A,Up and Down Barrel,beta
3u0d,B,Up and Down Barrel,beta
3u0d,C,Up and Down Barrel,beta
3u0d,D,Up and Down Barrel,beta
1moy,A,Up and Down Barrel,beta
3u03,A,Up and Down Barrel,beta
3u03,C,Up and Down Barrel,beta
3pk2,A,Up and Down Barrel,beta
4gda,A,Up and Down Barrel,beta
4gda,B,Up and Down Barrel,beta
4gd9,A,Up and Down Barrel,beta
4gd9,B,Up and Down Barrel,beta
4gd9,C,Up and Down Barrel,beta
4gd9,D,Up and Down Barrel,beta
4o9s,A,Up and Down Barrel,beta
4o9s,B,Up and Down Barrel,beta
4ck4,A,Up and Down Barrel,beta
4ck4,B,Up and Down Barrel,beta
2czt,A,Up and Down Barrel,beta
2czu,A,Up and Down Barrel,beta
2czu,B,Up and Down Barrel,beta
1wbi,A,Up and Down Barrel,beta
1wbi,B,Up and Down Barrel,beta
1wbi,C,Up and Down Barrel,beta
1wbi,D,Up and Down Barrel,beta
1wbi,E,Up and Down Barrel,beta
1wbi,H,Up and Down Barrel,beta
1hqq,A,Up and Down Barrel,beta
1hqp,A,Up and Down Barrel,beta
1hqq,B,Up and Down Barrel,beta
1hqq,C,Up and Down Barrel,beta
1hqq,D,Up and Down Barrel,beta
1vwn,B,Up and Down Barrel,beta
1vwm,B,Up and Down Barrel,beta
1vwi,B,Up and Down Barrel,beta
1vwa,B,Up and Down Barrel,beta
1vwd,B,Up and Down Barrel,beta
1vwp,B,Up and Down Barrel,beta
1vwl,B,Up and Down Barrel,beta
1vwi,D,Up and Down Barrel,beta
1vwa,D,Up and Down Barrel,beta
1vwl,D,Up and Down Barrel,beta
1vwr,B,Up and Down Barrel,beta
1vwc,B,Up and Down Barrel,beta
1vwg,B,Up and Down Barrel,beta
1vwh,B,Up and Down Barrel,beta
1vwj,B,Up and Down Barrel,beta
1vwo,B,Up and Down Barrel,beta
1vwb,B,Up and Down Barrel,beta
1vwk,B,Up and Down Barrel,beta
1vwk,D,Up and Down Barrel,beta
1vwj,D,Up and Down Barrel,beta
1vwq,B,Up and Down Barrel,beta
1vwf,B,Up and Down Barrel,beta
1vwe,B,Up and Down Barrel,beta
2m07,A,Up and Down Barrel,beta
2m06,A,Up and Down Barrel,beta
3oe3,A,Up and Down Barrel,beta
3oe3,B,Up and Down Barrel,beta
3oe3,C,Up and Down Barrel,beta
3oe3,D,Up and Down Barrel,beta
2cam,A,Up and Down Barrel,beta
3oe3,E,Up and Down Barrel,beta
3oe3,F,Up and Down Barrel,beta
4bim,B,Up and Down Barrel,beta
2mnh,A,Up and Down Barrel,beta
3tf6,A,Up and Down Barrel,beta
3tf6,B,Up and Down Barrel,beta
3tf6,C,Up and Down Barrel,beta
1n0s,A,Up and Down Barrel,beta
1n0s,B,Up and Down Barrel,beta
3tzs,A,Up and Down Barrel,beta
3tzs,B,Up and Down Barrel,beta
3tzs,C,Up and Down Barrel,beta
1jiw,I,Up and Down Barrel,beta
1bso,A,Up and Down Barrel,beta
1ij8,A,Up and Down Barrel,beta
1ij8,B,Up and Down Barrel,beta
3ph5,A,Up and Down Barrel,beta
3ph6,A,Up and Down Barrel,beta
3ph6,B,Up and Down Barrel,beta
3hwd,A,Up and Down Barrel,beta
3hwd,C,Up and Down Barrel,beta
3hwe,A,Up and Down Barrel,beta
